index	Column 1	recipient	sender	tosplit 2 2 1	toWD	tosplit 2 2 2
4460	Neumann, Salomon / Universal Israelite Alliance: Tatar Bazardjik, 06.02.1894			Tatar Bazardjik	Tatar Bazardjik	 06.02.1894
4462	Neumann, Salomon / Universal Israelite Alliance: Tatar Bazardjik, 25.01.1894			Tatar Bazardjik	Tatar Bazardjik	 25.01.1894
4484	Neumann, Salomon / Kuratorium der Zunz-Stiftung. Adressen für Ehrensitzung: o.O., o.D.			o.O.	o.O.	 o.D.
4508	Neumann, Salomon / Abraham, Adolf / Kuratorium der Zunz-Stiftung / Kuratorium der Zunz-Stiftung / Zunz-Stiftung <Berlin>. Bekanntmachung der Zunz-Stiftung: o.O., 17.04.1886			o.O.	o.O.	 17.04.1886
4531	Neumann, Salomon / Zunz, Leopold / Frankl, Pinkus Fritz / Steinschneider, Moritz. Betreffend die Zunz-Jubelschrift: nach Verabredung mit den Herren Dr. Frankl und Steinschneider...: Berlin, 22.06.1884			nach Verabredung mit den Herren Dr. Frankl und Steinschneider...: Berlin	nach Verabredung mit den Herren Dr. Frankl und Steinschneider...: Berlin	 22.06.1884
4538	"Neumann, Salomon / Zunz, Leopold. Ein Text über die ""Gesammelten Schriften"" von Leopold Zunz, Band I: o.O., o.D."			o.O.	o.O.	 o.D.
4539	"Neumann, Salomon / Zunz, Leopold. Ein Text über die ""Gesammelten Schriften"" von Leopold Zunz, Band I: o.O., o.D."			o.O.	o.O.	 o.D.
4569	Neumann, Salomon / Kuratorium der Zunz-Stiftung. Namenliste: o.O., o.D.			o.O.	o.O.	 o.D.
4576	"Neumann, Salomon / Zunz, Leopold. Notizen über Leopold Zunz ""Gesammelte Schriften"": o.O., o.D."			o.O.	o.O.	 o.D.
4633	Neumann, Salomon / Zunz-Stiftung <Berlin>. Subscribenten zur Zunzstiftung, eine Liste: o.O., o.D.			o.O.	o.O.	 o.D.
4677	Noiré, Ludwig / Delitzsch, Franz / Rosenthal, Ludwig August. Zitaten über Rabbiner Ludwig Rosenthal aus den Briefen von Prof. Ludwig Noire aus Mainz und Prof. Franz Delitzsch: Mainz;Leipzig, 31.10.1879-23.04.1885			Mainz;Leipzig	Mainz;Leipzig	 31.10.1879-23.04.1885
4678	Nossig, Alfred an Türkiye / Generalkonsulat <Berlin>: Schwarzbach bei Thüsberg, 20.08.1917	Türkiye / Generalkonsulat <Berlin>	Nossig, Alfred	Schwarzbach bei Thüsberg	Schwarzbach bei Thüsberg	 20.08.1917
4679	Nossig, Alfred an Sussnitzki, Alphons J.: Schwarzbach bei Thüsberg, 20.08.1917	Sussnitzki, Alphons J.	Nossig, Alfred	Schwarzbach bei Thüsberg	Schwarzbach bei Thüsberg	 20.08.1917
4684	Ochser, Sch. an Liebermann, Felix: Kuttenplan, 02.12.1909	Liebermann, Felix	Ochser, Sch.	Kuttenplan	Kuttenplan	 02.12.1909
4721	Poznanski, Samuel Abraham. Visitenkarte von Samuel Poznanski: o.O., o.D.			o.O.	o.O.	 o.D.
4726	Rapaport, Mordché Wolf an Liebermann, Felix: Stryj, 30.06.1911	Liebermann, Felix	Rapaport, Mordché Wolf	Stryj	Stryj	 30.06.1911
4727	Rapaport, Mordché Wolf an Liebermann, Felix: Stryj, 05.02.1911	Liebermann, Felix	Rapaport, Mordché Wolf	Stryj	Stryj	 05.02.1911
4744	Rawicz, Meir an Unbekannt: Schmieheim, 20.02.1888	Unbekannt	Rawicz, Meir	Schmieheim	Schmieheim	 20.02.1888
4745	Rawicz, Meir an Unbekannt: Schmieheim, 16.04.1888	Unbekannt	Rawicz, Meir	Schmieheim	Schmieheim	 16.04.1888
4746	Rawicz, Meir an Unbekannt: Schmieheim, 14.10.1888	Unbekannt	Rawicz, Meir	Schmieheim	Schmieheim	 14.10.1888
4747	Rawicz, Meir an Kuratorium der Zunz-Stiftung: Offenburg, 06.07.1896	Kuratorium der Zunz-Stiftung	Rawicz, Meir	Offenburg	Offenburg	 06.07.1896
4774	Rosenthal, Karl an Zunz-Stiftung <Berlin>: Hörde i/W, 26.04.1925	Zunz-Stiftung <Berlin>	Rosenthal, Karl	Hörde i/W	Hörde i/W	 26.04.1925
4777	Rosenthal, Ludwig August an Neumann, Salomon: Preußisch Stargant, 11.10.1902	Neumann, Salomon	Rosenthal, Ludwig August	Preußisch Stargant	Preußisch Stargant	 11.10.1902
4784	Rosenthal, Ludwig August an Kuratorium der Zunz-Stiftung: o.O., 1893	Kuratorium der Zunz-Stiftung	Rosenthal, Ludwig August	o.O.	o.O.	1893
4800	Rothschild, David an Kuratorium der Zunz-Stiftung: Burtscheid-Aachen, 26.07.1891	Kuratorium der Zunz-Stiftung	Rothschild, David	Burtscheid-Aachen	Burtscheid-Aachen	 26.07.1891
4802	Russak, Joseph an Reichenheim, Leonor: Labiszynek bei Gnesen, 19.07.1864	Reichenheim, Leonor	Russak, Joseph	Labiszynek bei Gnesen	Labiszynek bei Gnesen	 19.07.1864
4810	Sachs, Ignaz an Kuratorium der Zunz-Stiftung: Neugedein, 07.07.1889	Kuratorium der Zunz-Stiftung	Sachs, Ignaz	Neugedein	Neugedein	 07.07.1889
4811	Sachs, Ignaz an Kuratorium der Zunz-Stiftung: Neugedein, 08.07.1889	Kuratorium der Zunz-Stiftung	Sachs, Ignaz	Neugedein	Neugedein	 08.07.1889
4819	Salomon, F. an Liebermann, Felix: Lauenburg, 29.09.1809	Liebermann, Felix	Salomon, F.	Lauenburg	Lauenburg	 29.09.1809
4820	Salomon, F. an Liebermann, Felix: Lauenburg, 02.10.1908	Liebermann, Felix	Salomon, F.	Lauenburg	Lauenburg	 02.10.1908
4837	Schechter, Salomon an Kuratorium der Zunz-Stiftung: Cambridge, 18.12.1898	Kuratorium der Zunz-Stiftung	Schechter, Salomon	Cambridge	Cambridge	 18.12.1898
4838	Schechter, Salomon / Lehmann, Paul. Liste - abgesendet durch Paul Lehmann an Salomon Schechter in London: o.O., o.D.	Salomon Schechter in London	Schechter, Salomon / Lehmann, Paul. Liste - abgesendet durch Paul Lehmann	o.O.	o.O.	 o.D.
4839	Scherbel, Simon an Neumann, Salomon: Lissa, 12.05.1886	Neumann, Salomon	Scherbel, Simon	Lissa	Lissa	 12.05.1886
4856	Schlesinger, Lipót an Kuratorium der Zunz-Stiftung: Padé, 27.12.1909	Kuratorium der Zunz-Stiftung	Schlesinger, Lipót	Padé	Padé	 27.12.1909
4859	Schlesinger, Lipót an Liebermann, Felix: Padé, o.D.	Liebermann, Felix	Schlesinger, Lipót	Padé	Padé	 o.D.
4860	Schlesinger, Lipót an Kuratorium der Zunz-Stiftung: Padé, 23.03.1908	Kuratorium der Zunz-Stiftung	Schlesinger, Lipót	Padé	Padé	 23.03.1908
4861	Schlesinger, Lipót an Liebermann, Felix: Padé, o.D.	Liebermann, Felix	Schlesinger, Lipót	Padé	Padé	 o.D.
4862	Schmidt, Carl an Neumann, Salomon: Colmar, 10.08.1886	Neumann, Salomon	Schmidt, Carl	Colmar	Colmar	 10.08.1886
4873	Schreiner, Martin / Krauss, Samuel. Bericht: o.O., 1896			 o.O.	 o.O.	 1896
4881	Schück, Salomon H. an Liebermann, Felix: o.O., 1909	Liebermann, Felix	Schück, Salomon H.	o.O.	o.O.	1909
4882	Schück, Salomon H. an Liebermann, Felix: Karczag, 26.02.1909	Liebermann, Felix	Schück, Salomon H.	Karczag	Karczag	 26.02.1909
4896	Servi, Flaminio Ephraim an Neumann, Salomon: Casal, 23.05.1886	Neumann, Salomon	Servi, Flaminio Ephraim	Casal	Casal	 23.05.1886
4900	Silberberg, Moritz an Kuratorium der Zunz-Stiftung: Benthen, 27.11.1894	Kuratorium der Zunz-Stiftung	Silberberg, Moritz	Benthen	Benthen	 27.11.1894
4901	Silberberg, Moritz an Kuratorium der Zunz-Stiftung: Benthen, 11.04.1895	Kuratorium der Zunz-Stiftung	Silberberg, Moritz	Benthen	Benthen	 11.04.1895
4902	Silberstein, Siegfried an Liebermann, Felix: Elbing, 30.03.1910	Liebermann, Felix	Silberstein, Siegfried	Elbing	Elbing	 30.03.1910
4916	Simon, Herman Veit an Neumann, Salomon: Rigi-Kaltbad, 26.07.1890	Neumann, Salomon	Simon, Herman Veit	Rigi-Kaltbad	Rigi-Kaltbad	 26.07.1890
4958	Stein, A. an Neumann, Salomon: Radnitz, 24.02.1898	Neumann, Salomon	Stein, A.	Radnitz	Radnitz	 24.02.1898
4959	Stein, Abraham an Neumann, Salomon: Radnitz, 26.12.1897	Neumann, Salomon	Stein, Abraham	Radnitz	Radnitz	 26.12.1897
4960	Stein, Abraham an Neumann, Salomon: Radnitz, 01.09.1898	Neumann, Salomon	Stein, Abraham	Radnitz	Radnitz	 01.09.1898
4961	Steinem, F. an Unbekannt: Thüringen, 29.04.1907	Unbekannt	Steinem, F.	Thüringen	Thüringen	 29.04.1907
4962	Steiner, Ignatz an Kuratorium der Zunz-Stiftung: Léva, o.D.	Kuratorium der Zunz-Stiftung	Steiner, Ignatz	Léva	Léva	 o.D.
4963	Steiner, Ignatz an Kuratorium der Zunz-Stiftung: Léva, 10.08.1897	Kuratorium der Zunz-Stiftung	Steiner, Ignatz	Léva	Léva	 10.08.1897
4968	Steinherz, Jakab an Simon, Herman Veit: Székesfehérvár, 1911	Simon, Herman Veit	Steinherz, Jakab	Székesfehérvár	Székesfehérvár	1911
4969	Steinherz, Jakab an Kuratorium der Zunz-Stiftung: Székesfehérvár, 03.03.1915	Kuratorium der Zunz-Stiftung	Steinherz, Jakab	Székesfehérvár	Székesfehérvár	 03.03.1915
4970	Steinherz, Jakab an Kuratorium der Zunz-Stiftung: Székesfehérvár, 15.08.1915	Kuratorium der Zunz-Stiftung	Steinherz, Jakab	Székesfehérvár	Székesfehérvár	 15.08.1915
4984	Steinschneider, Moritz an Neumann, Salomon: o.O., 22.03.1888	Neumann, Salomon	Steinschneider, Moritz	o.O.	o.O.	 22.03.1888
5000	Steinschneider, Moritz an Neumann, Salomon: o.O., 22.01.1875	Neumann, Salomon	Steinschneider, Moritz	o.O.	o.O.	 22.01.1875
5001	Steinschneider, Moritz an Neumann, Salomon: o.O., 17.12.1875	Neumann, Salomon	Steinschneider, Moritz	o.O.	o.O.	 17.12.1875
5015	Steinschneider, Moritz an Neumann, Salomon: o.O., 29.06.1886	Neumann, Salomon	Steinschneider, Moritz	o.O.	o.O.	 29.06.1886
5022	Steinschneider, Moritz an Neumann, Salomon: o.O., 02.05.1887	Neumann, Salomon	Steinschneider, Moritz	o.O.	o.O.	 02.05.1887
5034	Steinschneider, Moritz / Malter, Henry. Gutachten für Heinrich Malter: o.O., o.D.			 o.O.	 o.O.	 o.D.
5064	Sternberger, Josef an Neumann, Salomon / Kuratorium der Zunz-Stiftung: Altona, 03.08.1887	Neumann, Salomon / Kuratorium der Zunz-Stiftung	Sternberger, Josef	Altona	Altona	 03.08.1887
5065	Strack, Hermann L. an Kuratorium der Zunz-Stiftung: Großlichterfelde, 01.07.1895	Kuratorium der Zunz-Stiftung	Strack, Hermann L.	Großlichterfelde	Großlichterfelde	 01.07.1895
5066	Strack, Hermann L.. Gutachten für eine neue Ausgabe des babylonischen Talmud: Großlichterfelde, 1895			Großlichterfelde	Großlichterfelde	1895
5068	Strassburger, ... (Lehrer) an Neumann, Salomon: Buchau am Federsee, 25.09.1887	Neumann, Salomon	Strassburger, ... (Lehrer)	Buchau am Federsee	Buchau am Federsee	 25.09.1887
5069	Strassburger, ... (Lehrer) an Neumann, Salomon: Buchau a. F., 08.02.1888	Neumann, Salomon	Strassburger, ... (Lehrer)	Buchau a. F.	Buchau a. F.	 08.02.1888
5070	Strassburger, ... (Lehrer) an Neumann, Salomon: Buchau am Federsee, 19.01.1888	Neumann, Salomon	Strassburger, ... (Lehrer)	Buchau am Federsee	Buchau am Federsee	 19.01.1888
5071	Strassburger, ... (Lehrer) an Kuratorium der Zunz-Stiftung: Buchau am Federsee, 05.10.1887	Kuratorium der Zunz-Stiftung	Strassburger, ... (Lehrer)	Buchau am Federsee	Buchau am Federsee	 05.10.1887
5072	Strauss, Hermann L. an Neumann, Salomon / Dalman, Gustaf: Groß-Lichterfelde bei Berlin, 29.11.1892	Neumann, Salomon / Dalman, Gustaf	Strauss, Hermann L.	Groß-Lichterfelde bei Berlin	Groß-Lichterfelde bei Berlin	 29.11.1892
5117	Sussnitzki, Alphons J.. Der Hilfsverein der deutschen Juden und seine Kulturarbeit in der Türkei: o.O., o.D.			 o.O.	 o.O.	 o.D.
5150	Theodor, Julius an Kuratorium der Zunz-Stiftung: Berent, 01.08.1886	Kuratorium der Zunz-Stiftung	Theodor, Julius	Berent	Berent	 01.08.1886
5151	Theodor, Julius an Neumann, Salomon: Berent, 08.07.1887	Neumann, Salomon	Theodor, Julius	Berent	Berent	 08.07.1887
5152	Theodor, Julius an Neumann, Salomon: Grünberg, 26.07.1887	Neumann, Salomon	Theodor, Julius	Grünberg	Grünberg	 26.07.1887
5174	"Theodor, Julius. Das Zunz´sche Buch über die ""gottesdienstliche Vorträge"" und der heutige Stand der Midraschforschung: o.O., o.D."			o.O.	o.O.	 o.D.
5185	Tukkmann, ... an Neumann, Salomon: Hildesheim, 18.04.0889	Neumann, Salomon	Tukkmann, ...	Hildesheim	Hildesheim	 18.04.0889
5187	Tänzer, Aron an Sussnitzki, Alphons J.: Göppingen, 26.02.1915	Sussnitzki, Alphons J.	Tänzer, Aron	Göppingen	Göppingen	 26.02.1915
5189	Tänzer, Aron an Kuratorium der Zunz-Stiftung: Göppingen, 25.02.1915	Kuratorium der Zunz-Stiftung	Tänzer, Aron	Göppingen	Göppingen	 25.02.1915
5191	Tänzer, Aron an Kuratorium der Zunz-Stiftung: Göppingen, 21.04.1915	Kuratorium der Zunz-Stiftung	Tänzer, Aron	Göppingen	Göppingen	 21.04.1915
5193	Tänzer, Aron an Wassermann, Oskar: Göppingen, 04.07.1924	Wassermann, Oskar	Tänzer, Aron	Göppingen	Göppingen	 04.07.1924
5200	Unbekannt an Kuratorium der Zunz-Stiftung: o.O., o.D.	Kuratorium der Zunz-Stiftung	Unbekannt	o.O.	o.O.	 o.D.
5203	Unbekannt an Lazarus, Moritz: o.O., 30.11.1891	Lazarus, Moritz	Unbekannt	o.O.	o.O.	 30.11.1891
5209	Unbekannt an Zunz, Leopold: o.O., 1874	Zunz, Leopold	Unbekannt	o.O.	o.O.	1874
5210	Unbekannt an Zunz, Leopold: o.O., 1874	Zunz, Leopold	Unbekannt	o.O.	o.O.	1874
5211	Unbekannt an Zunz, Leopold: o.O., 1874	Zunz, Leopold	Unbekannt	o.O.	o.O.	1874
5214	Unbekannt an Liebermann, Felix: o.O., 20.12.1913	Liebermann, Felix	Unbekannt	o.O.	o.O.	 20.12.1913
5215	Unbekannt an mein lieber Freund: o.O., 18.08.1864	mein lieber Freund	Unbekannt	o.O.	o.O.	 18.08.1864
5216	Unbekannt an Liebermann, Felix: o.O., o.D.	Liebermann, Felix	Unbekannt	o.O.	o.O.	 o.D.
5217	Unbekannt an Liebermann, Felix: o.O., o.D.	Liebermann, Felix	Unbekannt	o.O.	o.O.	 o.D.
5218	Unbekannt an Maybaum, Siegmund / Wissenschaftlicher Beirat der Zunz-Stiftung: o.O., o.D.	Maybaum, Siegmund / Wissenschaftlicher Beirat der Zunz-Stiftung	Unbekannt	o.O.	o.O.	 o.D.
5219	Unbekannt / Zunz, Leopold. Aus dem Zunz-Archiv: o.O., 28.07.1916			o.O.	o.O.	 28.07.1916
5220	Unbekannt. Das alexandrische Judenthum in den letzten vorchristlichen Jahrhunderten: o.O., o.D.			o.O.	o.O.	 o.D.
5223	Unbekannt / Zunz, Leopold. Für die am 10. August 1874 Jubilar Feier sind eingegangen (Summen): o.O., o.D.			o.O.	o.O.	 o.D.
5224	"Unbekannt. Gehört die Thoravorlesung zum ""Gottesdienst""?: o.O., 11.11.1886"			o.O.	o.O.	 11.11.1886
5225	Unbekannt / Zunz, Leopold. Grüße zum Jubiläum von Leopold Zunz: o.O., 1874			o.O.	o.O.	1874
5226	Unbekannt / Zunz, Leopold. Herrn Dr. L. Zunz zu seinem siebzigsten Geburtstag, Adresse: o.O., o.D.			o.O.	o.O.	 o.D.
5227	Unbekannt / Neumann, Salomon. Herrn S.R. Dr. Neumann: o.O., o.D.			o.O.	o.O.	 o.D.
5228	Unbekannt / Geiger, Abraham / Zunz, Leopold. In Geigers jüd. Zeitschrift: o.O., o.D.			o.O.	o.O.	 o.D.
5229	Unbekannt / Zunz, Leopold. Inhaltsangaben I Band Allgemeines. I. Abteilung jüd. Wissenschaft: o.O., o.D.			o.O.	o.O.	 o.D.
5230	Unbekannt / Zunz, Leopold. Inhaltsangaben II Band Specialia, I Abteilung jüdische Zeitfragen: o.O., o.D.			o.O.	o.O.	 o.D.
5231	Unbekannt / Zunz, Leopold. Inhaltsangaben II Band Specialia. II Abteilung jüd. Wissenschaft: o.O., o.D.			o.O.	o.O.	 o.D.
5232	"Unbekannt / Zunz, Leopold. Inhaltsangaben des 1. Bandes der ""Gesammelten Schriften"": o.O., o.D."			o.O.	o.O.	 o.D.
5233	Unbekannt / Zunz, Leopold. Inserat: o.O., 18.12.1874			o.O.	o.O.	 18.12.1874
5234	Unbekannt / Zunz, Leopold. Liste von Leopold Zunz Briefen und Handschriften: o.O., o.D.			o.O.	o.O.	 o.D.
5235	Unbekannt / Kuratorium der Zunz-Stiftung. Namenliste: o.O., o.D.			o.O.	o.O.	 o.D.
5237	Unbekannt / Zunz, Leopold. Notiz zu Schriften von Leopold Zunz: o.O., o.D.			o.O.	o.O.	 o.D.
5238	Unbekannt / Zunz, Leopold. Notizen zum Band II: o.O., 15.09.1875			o.O.	o.O.	 15.09.1875
5239	Unbekannt / Zunz, Leopold. Notizen zum Band II, Specialia: o.O., August 1875			o.O.	o.O.	 August 1875
5240	Unbekannt / Zunz, Leopold. Notizen zur Werkausgabe von Leopold Zunz Schriften 1874: o.O., o.D.			o.O.	o.O.	 o.D.
5244	Unbekannt / Zunz, Leopold. Über Leopold Zunz, zum siebzigsten Geburtstag: o.O., o.D.			o.O.	o.O.	 o.D.
5245	Unbekannt (Kantor der isr. Gemeine Obernbreit) an Neumann, Salomon: Obernbreit, 10.05.1886	Neumann, Salomon	Unbekannt (Kantor der isr. Gemeine Obernbreit)	Obernbreit	Obernbreit	 10.05.1886
5278	Wassermann, Oskar an Liebermann, Felix: o.O., 31.10.1911	Liebermann, Felix	Wassermann, Oskar	o.O.	o.O.	 31.10.1911
5300	Weinberg, Magnus an Kuratorium der Zunz-Stiftung: Sulzbuerg, 20.07.1896	Kuratorium der Zunz-Stiftung	Weinberg, Magnus	Sulzbuerg	Sulzbuerg	 20.07.1896
5301	Weinsberg, Leopold an Kuratorium der Zunz-Stiftung: Biala, 13.09.1889	Kuratorium der Zunz-Stiftung	Weinsberg, Leopold	Biala	Biala	 13.09.1889
5302	Weinsberg, Leopold an Kuratorium der Zunz-Stiftung: Biala, 18.09.1889	Kuratorium der Zunz-Stiftung	Weinsberg, Leopold	Biala	Biala	 18.09.1889
5329	Weltsman, S. an Kuratorium der Zunz-Stiftung: Skalmierzyce, 29.01.1913	Kuratorium der Zunz-Stiftung	Weltsman, S.	Skalmierzyce	Skalmierzyce	 29.01.1913
5353	Winter, S . an Grünwald, Moritz: o.O., o.D.	Grünwald, Moritz	Winter, S .	o.O.	o.O.	 o.D.
5360	Wolff, A. an Kuratorium der Zunz-Stiftung: Fürth, 12.07.1897	Kuratorium der Zunz-Stiftung	Wolff, A.	Fürth	Fürth	 12.07.1897
5361	Wolff, A. an Liebermann, Felix: Fürth, 10.08.1897	Liebermann, Felix	Wolff, A.	Fürth	Fürth	 10.08.1897
5377	Wolff, Lion. Handbuch für alle Kasualien - Reklame: o.O., o.D.			o.O.	o.O.	 o.D.
5386	Wünsche, August an Neumann, Salomon: o.O., 01.01.1888	Neumann, Salomon	Wünsche, August	o.O.	o.O.	 01.01.1888
5416	"Zunz, Leopold / Comité für die Zunz-Stiftung. ""Hochgeehrter Herr"", Leopold Zunz zum siebzigsten Geburtstag, Adresse: o.O., o.D."			 o.O.	 o.O.	 o.D.
5423	Zunz, Leopold. Allgemeine Bibliographie, Kartei: o.O., o.D.			 o.O.	 o.O.	 o.D.
5430	"Zunz, Leopold / Gestetner, Adolf. Artikel über dem Index von Adolf Gestetener zu Leopold Zunz' ""Literaturgeschichte der synagogalen Poesie"": Frankfurt am Main, 01.09.1889"			 Fr	 Fr	
5431	Zunz, Leopold. Ausgeschieden in Übereinstimmung mit Zunz, Kartei: o.O., o.D.			 o.O.	 o.O.	 o.D.
5432	Zunz, Leopold. Band II, Specialia, Inhaltsverzeichnis: o.O., o.D.			o.O.	o.O.	 o.D.
5434	Zunz, Leopold / Kuratorium der Zunz-Stiftung / M. u. H. Marcus. Briefumschlag: o.O., o.D.			 o.O.	 o.O.	 o.D.
5439	"Zunz, Leopold / Gestetner, Adolf. Ein Zeitungsartikel über von Adolf Gestetner geschriebenen ""Mafteach ha-Pijutim. : Index zu Dr. Zunz' Literaturgeschichte der synagogalen Poesie"", Hrsg. [...]: o.O., 1889"			" Index zu Dr. Zunz' Literaturgeschichte der synagogalen Poesie"""	" Index zu Dr. Zunz' Literaturgeschichte der synagogalen Poesie"""	 Hrsg. [...]
5440	Zunz, Leopold / Zunz, Leopold. Ein gedrucktes Blatt aus einem Buch von Leopold Zunz: o.O., o.D.			 o.O.	 o.O.	 o.D.
5443	Zunz, Leopold / Frankfurter Zeitung <Frankfurt/Main>. Feuilleton: Aus Kunst und Leben : Zeitungsartikel zum 90. Geburtstag von Leopold Zunz: Frankfurt am Main, 11.08.1884			Aus Kunst und Leben : Zeitungsartikel zum 90. Geburtstag von Leopold Zunz: Frankfurt am Main	Aus Kunst und Leben : Zeitungsartikel zum 90. Geburtstag von Leopold Zunz: Frankfurt am Main	 11.08.1884
5446	Zunz, Leopold. Größere Werke ausgeschieden, Kartei von Werken von Leopold Zunz: o.O., o.D.			 o.O.	 o.O.	 o.D.
5447	Zunz, Leopold. I Bd., I Abteilung, Schriften-Kartei: o.O., o.D.			 o.O.	 o.O.	 o.D.
5448	Zunz, Leopold. I Bd., II Abteilung, Schriften-Kartei: o.O., o.D.			 o.O.	 o.O.	 o.D.
5449	Zunz, Leopold. II Bd., I Abteilung, jüdische Zeitfragen, jüdische Wissenschaft, Spezialia, Kartei: o.O., o.D.			 o.O.	 o.O.	 o.D.
5456	Zunz, Leopold. Literary gossip: o.O., 26.04.1884			 o.O.	 o.O.	 26.04.1884
5457	Zunz, Leopold. Lose Karten mit Werken und Schriften von Leopold Zunz: o.O., o.D.			 o.O.	 o.O.	 o.D.
5459	Zunz, Leopold / Gestetner, Adolf. Notiz zur Veröffentlichung von dem Index zu Leopold Zunz' Literaturgeschichte der synagogalen Poesie von Adolf Gestetner: o.O., o.D.			 o.O.	 o.O.	 o.D.
5478	Zunz, Leopold. Sammlung der kleinen Schriften von Dr. Zunz, vorläufige Aufstellung: o.O., o.D.			 o.O.	 o.O.	 o.D.
5488	Zunz, Leopold / Kuratorium der Zunz-Stiftung / J. Kauffmann <Frankfurt, Main> / Kuratorium der Zunz-Stiftung / J. Kauffmann <Frankfurt, Main>. Verlagsvertrag zwischen dem Kuratorium der Zunz-Stiftung und J. Kauffmann Verlagsbuchhandlung: Berlin;Frankfurt am Main, März 1914			Berlin;Frankfurt am Main	Berlin;Frankfurt am Main	 März 1914
5489	Zunz, Leopold / Kuratorium der Zunz-Stiftung / J. Kauffmann <Frankfurt, Main> / Kuratorium der Zunz-Stiftung / J. Kauffmann <Frankfurt, Main>. Verlagsvertrag zwischen dem Kuratorium der Zunz-Stiftung und J. Kauffmann Verlagsbuchhandlung: Berlin;Frankfurt am Main, Januar 1914			Berlin;Frankfurt am Main	Berlin;Frankfurt am Main	 Januar 1914
5490	Zunz, Leopold / Kuratorium der Zunz-Stiftung / J. Kauffmann <Frankfurt, Main> / Kuratorium der Zunz-Stiftung / J. Kauffmann <Frankfurt, Main>. Verlagsvertrag zwischen dem Kuratorium der Zunz-Stiftung und J. Kauffmann Verlagsbuchhandlung: Berlin;Frankfurt am Main, März 1914			Berlin;Frankfurt am Main	Berlin;Frankfurt am Main	 März 1914
5503	"Zunz, Leopold / J. Kauffmann <Frankfurt, Main>. Zeitungsartikel über eine neue Ausgabe des Leopold Zunzes ""Gottesdienstliche Vorträge"": o.O., o.D."			o.O.	o.O.	 o.D.
5508	Zunz, Leopold. Zunz Seitenzahlen: o.O., o.D.			 o.O.	 o.O.	 o.D.
5518	L. Schwager & D. Fränkel an Zunz-Stiftung <Berlin>: Husjatyn, 08.10.1912	Zunz-Stiftung <Berlin>	L. Schwager & D. Fränkel	Husjatyn	Husjatyn	 08.10.1912
5548	Kuratorium der Zunz-Stiftung an Wissenschaftlicher Beirat der Zunz-Stiftung: / Beirat der Zunz-Stiftung: Berlin, 06.10.1892	Wissenschaftlicher Beirat der Zunz-Stiftung	Kuratorium der Zunz-Stiftung	/ Beirat der Zunz-Stiftung: Berlin	/ Beirat der Zunz-Stiftung: Berlin	 06.10.1892
5549	Kuratorium der Zunz-Stiftung an Wissenschaftlicher Beirat der Zunz-Stiftung: / Beirat der Zunz-Stiftung: Berlin, 21.09.1894	Wissenschaftlicher Beirat der Zunz-Stiftung	Kuratorium der Zunz-Stiftung	/ Beirat der Zunz-Stiftung: Berlin	/ Beirat der Zunz-Stiftung: Berlin	 21.09.1894
5550	Kuratorium der Zunz-Stiftung an Wissenschaftlicher Beirat der Zunz-Stiftung: / Beirat der Zunz-Stiftung: Berlin, 20.08.1895	Wissenschaftlicher Beirat der Zunz-Stiftung	Kuratorium der Zunz-Stiftung	/ Beirat der Zunz-Stiftung: Berlin	/ Beirat der Zunz-Stiftung: Berlin	 20.08.1895
5551	Kuratorium der Zunz-Stiftung an Wissenschaftlicher Beirat der Zunz-Stiftung: / Beirat der Zunz-Stiftung: Berlin, 07.08.1896	Wissenschaftlicher Beirat der Zunz-Stiftung	Kuratorium der Zunz-Stiftung	/ Beirat der Zunz-Stiftung: Berlin	/ Beirat der Zunz-Stiftung: Berlin	 07.08.1896
5552	Kuratorium der Zunz-Stiftung an Wissenschaftlicher Beirat der Zunz-Stiftung: / Beirat der Zunz-Stiftung: Berlin, 02.08.1901	Wissenschaftlicher Beirat der Zunz-Stiftung	Kuratorium der Zunz-Stiftung	/ Beirat der Zunz-Stiftung: Berlin	/ Beirat der Zunz-Stiftung: Berlin	 02.08.1901
5556	Kuratorium der Zunz-Stiftung an Wissenschaftlicher Beirat der Zunz-Stiftung: / Beirat der Zunz-Stiftung: Berlin, 06.12.1891	Wissenschaftlicher Beirat der Zunz-Stiftung	Kuratorium der Zunz-Stiftung	/ Beirat der Zunz-Stiftung: Berlin	/ Beirat der Zunz-Stiftung: Berlin	 06.12.1891
5558	Kuratorium der Zunz-Stiftung an Wissenschaftlicher Beirat der Zunz-Stiftung: / Beirat der Zunz-Stiftung: Berlin, 25.12.1905	Wissenschaftlicher Beirat der Zunz-Stiftung	Kuratorium der Zunz-Stiftung	/ Beirat der Zunz-Stiftung: Berlin	/ Beirat der Zunz-Stiftung: Berlin	 25.12.1905
5559	Kuratorium der Zunz-Stiftung an Wissenschaftlicher Beirat der Zunz-Stiftung: / Beirat der Zunz-Stiftung: Berlin, 22.05.1906	Wissenschaftlicher Beirat der Zunz-Stiftung	Kuratorium der Zunz-Stiftung	/ Beirat der Zunz-Stiftung: Berlin	/ Beirat der Zunz-Stiftung: Berlin	 22.05.1906
