index	Column 1	recipient	sender	tosplit 2 2 1	toWD	tosplit 2 2 2
3023	Guttmann, Jacob an Kuratorium der Zunz-Stiftung: Johannisbad, 12.07.1907	Kuratorium der Zunz-Stiftung	Guttmann, Jacob	Johannisbad	Johannisbad	 12.07.1907
3046	Güdemann, Moritz / Frankl, Pinkus Fritz an Steinschneider, Moritz: Baden, 23.06.1884	Steinschneider, Moritz	Güdemann, Moritz / Frankl, Pinkus Fritz	Baden	Baden	 23.06.1884
3049	Günzig, Israel an Zunz-Stiftung <Berlin>: Loschitz, 05.02.1903	Zunz-Stiftung <Berlin>	Günzig, Israel	Loschitz	Loschitz	 05.02.1903
3050	Günzig, Israel an Kuratorium der Zunz-Stiftung: Loschitz, 06.02.1903	Kuratorium der Zunz-Stiftung	Günzig, Israel	Loschitz	Loschitz	 06.02.1903
3051	Günzig, Israel an Kuratorium der Zunz-Stiftung: Loschitz, 10.12.1902	Kuratorium der Zunz-Stiftung	Günzig, Israel	Loschitz	Loschitz	 10.12.1902
3059	Haller, S. an Kuratorium der Zunz-Stiftung: Unterach am Attersee, 29.07.1886	Kuratorium der Zunz-Stiftung	Haller, S.	Unterach am Attersee	Unterach am Attersee	 29.07.1886
3067	Hamburger, Jacob an Neumann, Salomon: Strelitz, 29.08.1888	Neumann, Salomon	Hamburger, Jacob	Strelitz	Strelitz	 29.08.1888
3068	Hamburger, Jacob an Kuratorium der Zunz-Stiftung: Strelitz, 20.10.1890	Kuratorium der Zunz-Stiftung	Hamburger, Jacob	Strelitz	Strelitz	 20.10.1890
3091	Hirsch, J. (Rabbiner) an Kuratorium der Zunz-Stiftung: Prag-Karolinenthal, 1898	Kuratorium der Zunz-Stiftung	Hirsch, J. (Rabbiner)	Prag-Karolinenthal	Prag-Karolinenthal	1898
3095	Hirschfeld, L. an Neumann, Salomon: Ostrowo, 26.06.1892	Neumann, Salomon	Hirschfeld, L.	Ostrowo	Ostrowo	 26.06.1892
3096	Hirschfeld, L. an Neumann, Salomon: Ostrowo, 26.06.1892	Neumann, Salomon	Hirschfeld, L.	Ostrowo	Ostrowo	 26.06.1892
3097	Hirschfeld, L. an Kuratorium der Zunz-Stiftung: Ostrowo, 09.08.1892	Kuratorium der Zunz-Stiftung	Hirschfeld, L.	Ostrowo	Ostrowo	 09.08.1892
3098	Hoffmann, Moses an Kuratorium der Zunz-Stiftung: Randegg, 02.01.1911	Kuratorium der Zunz-Stiftung	Hoffmann, Moses	Randegg	Randegg	 02.01.1911
3099	Hoffmann, Moses an Kuratorium der Zunz-Stiftung: Randegg, 12.07.1911	Kuratorium der Zunz-Stiftung	Hoffmann, Moses	Randegg	Randegg	 12.07.1911
3100	Hoffmann, Moses an Zunz-Stiftung <Berlin>: Randegg, 12.07.1911	Zunz-Stiftung <Berlin>	Hoffmann, Moses	Randegg	Randegg	 12.07.1911
3101	Hoffmann, Moses / Zunz-Stiftung <Berlin>. Quittung: Randegg, 17.07.1911			Randegg	Randegg	 17.07.1911
3102	Holzman, M. an Kuratorium der Zunz-Stiftung: 30.06.1903	Kuratorium der Zunz-Stiftung	Holzman, M.	30.06.1903	30.06.1903	
3103	Holzman, M. an Liebermann, Felix: 28.10.1903	Liebermann, Felix	Holzman, M.	28.10.1903	28.10.1903	
3107	Holzmann, Michael an Liebermann, Felix / Brünn, Siegfried / Elbogen, Ismar: o.O., 30.01.1913	Liebermann, Felix / Brünn, Siegfried / Elbogen, Ismar	Holzmann, Michael	o.O.	o.O.	 30.01.1913
