title;first name;last name;jub;issue_date;other;nachruf/tode;Geburt/Tod
-;Bruno;Schönlank;-;-;Nachr.l8.6.65(Gottgetr);-;-
-;Ella;Schüler;-;-;Nachr.6.8.65;-;-
-;Moshe;Schwarz;-;-;Karl  8o:lo.12.65;-;-
Dr.;Albert;Schweitzer;-;-;Sammelschrift  17.lo.62;-;-
-;Lotte;Seelenfreund;-;-;Todesanz.23.il.62;-;-
-;Martin;Seeligmann;-;-;Nachr.23.3.62;-;-
-;Giorgos;Seferis;-;8.11.63;Nobelpreis;-;-
-;Elieser;Sekey;-;-;Todesnaz.23.11.62;-;-
Dr.;David;Senator;-;21.12.62;W.  Gedenkfeier;-;-
-;George;Shaw;-;2.11.62;Bernard  Briefe  Arnold);-;-
Dr.;Felix;Shinnar;-;-;E.  6o:16.4.65(ht);-;-
-;Rabbi;Silver;-;-;A.H.  Nachr.6.12.63;-;-
-;ProfoE.A.;Simon;-;-;65:  2o.3.64(EMayer);-;-
-;Helene;Simon;-;23.11.62;loo.Geburtstg  bTTP)/28.12.62  Briefe;-;-
Dr.;Adolf;Sindler;-;-;Nachr.3.9.65;-;-
Dr.;Josef;Smoira;-;12.6.64;Schloschim;-;-
Dr.;Saul;Sokal;-;-;Nachr.l6.1o.64(ZKr);-;-
-;Wladimir;Sokoloff;-;-;Nachr.27.4.62;-;-
Dr.;Belmar;Spier;-;-;“achr.23.11.62(kl);-;-
Dr.;Abr.;Spighel;-;-;7o:31.8.62(RahelStraus);-;-
Prof.;Eugene;Spiro;-;-;9o:6.5.64;-;-
Prof.;Eduard;Spranger;-;7.10.63;Todesnachricht;-;-
Dr.;Max;Stein;-;-;Nachr.1.5.64;-;-
-;Nadja;Stein;-;15.2.63;z.l.Todestg;-;-
-;John;Steinbeck;-;9.11.62;Nobelpreis  Arnold);-;-
-;Moritz;Steinschneider;-;-;;-;1816-19o7
Dr.;W.;Sternbach;-;-;Nachr.22.2.63;-;-
-;Hermann;Sternberg;-;-;Nachr.22.lo.65;-;-
-;;Sterng&jlss;-;26.4.63;Dr.  Ernest  J.  Würdigung  Baumgardt);-;-
-;Adlai;Stevenson;-;-;Nachr.23.7.65;-;-
-;Otto;Stiel;-;-;7o:I.11.63;-;-
-;Paul;Stiel;-;-;Todesanz.12.1.62;-;-
Dr.;Rahe1;Straus;-;2.2.62;Erinnerungen  EMayer);-;-
-;Franz;Strauss;-;7.6.63;Joseph(Mlnister  in  Israel;-;-
-;Louis;Strauss;-;21.6.63;L.)USA)  Memoiren  RW);-;-
-;Ludwig;Strauss;-;5.4.63;Bubers  Geleitwort;-;Dichter
-;Igor;Strawinski;-;-;8o:6.6.62(Seelenfr);-;-
Prof.;Fritz;Strich;-;-;Nachr.6.9.63/27.9.63(brief  Wörmann);-;-
-;Erich;Stroheim;-;9.2.62;v.  jüd.Herkunft;-;-
-;Manfred;Sturmann;-;-;Rez.2o.l2.63(Flusser);-;-
-;Joachim;Stutschewsky;-;15.3.63;Preis;-;-
-;‘‘iargarete;Susman;-;-;9o:  17.lo.62(HBergmann,Rotenstreich)/26.lo.62  Optimismus;-;-
Dr.;Saul;Symann;-;-;Nachr.14.6.63;-;-
-;Frieda;Szilard;-;-;Nachr.19.4.63;-;-
-;Henrietta;Szold;-;19.2.65;2o.Todestg  MTP);-;-
-;Fritz;Tau;-;-;6o:22.Z.6Z(Ll);-;-
Dr.;Max;Tau;-;-;Autobiogr.19.1.62(10?);-;-
-;Michael;Taube;75;26.3.65;;-;-
Dr.;Ernst;Tausig;-;-;E.Nachr.15.1.65;-;-
-;Ludwig;Tietz;-;8.11.63;3o.Todestg  Horn);-;-
Prof.;Paul;Tillich;-;-;Rede  in  Frkft.17.Io62;-;-
-;Ernst;Toch;-;-;Wachr.16.lo.64;-;-
-;Ernst;Toller;-;19.1.62;Werke  Freeden);-;-
-;Liddy;Treidel;85;21.5.65;;-;-
-;Irma;-Tranier;-;19.4.63;Todesanz.;-;-
Dr.;Josef;Treu;-;-;Nachr.3.7.64;-;-
-;David;Tschertok(Tesher);-;-;6o:2o.3.64;-;-
-;Kurt;Tuchler;-;11.12.64;7o:  llT  FiM);-;-
-;Kurt;Tucholsky;-;9.11.62;T-Preis;-;-
-;Margarete;Turnowsky-Pinner;-;-;Brief-_KW  3o.12.49;-;-
-;Irene;Triesch;-;-;Uachr.8.1.65  (MT?)  j;-;-
Prof.;Sinai;Ucko;-;5.11.65;60:;-;-
-;Lesser;Ury;-;2.11.62;Katalogplan;-;1861-1931
-;Johannes;Urzidil;-;5.10.62;in  Jerusalem;-;-
-;Diego;Viga;-;-;;-;pseud?dt.Jude
-;Moses;Waldmann;-;13.11.64;lo.Todestg;-;-
-;Bruno;Walter;-;9.3.62;Gedenken  rw)  /6.4.62(Braband)(1876-1962);-;-
Dr.;Fritz;Warburg;-;-;Nachr.23.lo.64;-;-
-;Jacob;Wassermann;-;15.3.63;in  metnorSo.Geburtg.;-;-
Prof.;Alfred;Weber;-;-;Adolf  Nachr.15.2.63;-;-
Prof.;Max;Weber;-;1.5.64;loo.Geburtstg;-;-
-;Jerome;/Weidman;-;-;Kez.26.7.63(Arnold);-;-
-;Fanni;Wechsler;-;-;Nachr.5-2.65;-;-
-;Herzl;Weigler;-;-;i4achr.22.2.63;-;-
-;Gertrude;Weil;-;-;“achr.13.12.63;-;-
-;Frieda;Weinreich(hanf);-;-;Nachr.3o.4.65/21.5.65;-;-
-;Siegfried;Weiner;-;-;Nachr.6.9.63;-;-
Dr.;Elias;Weinstein;-;-;Nachr.19.3.65(ZKr);-;-
Dr.;George;Weis;-;-;in  Israel  17.lo.62;-;Wien
-;Frieda;Weissmann;85;2.7.65;;-;-
Dr.;Georg;Weissmann;-;1.2.63;Nachr.  Frtf);-;-
Dr.;Felix;Weltsch;-;-;"8o;2.1o.64";-;-
-;Hans;Werner;-;-;7o:23.7.65;-;-
-;Franz;Werfel;-;10.9.65;2o.Todestg;-;-
Dr.;Alfred;Wiener;-;-;Nadir.28.2.64(HT);-;-
-;Norbert;Wiener;-;-;Nachr.Io.4.64;-;-
-;Oscar;Wilde;-;6.6.62;Briefe  Arnold);-;-
Rabb.;Kurt;WilheIm;-;-;D.  Nachr.28.5.65(HT  HBergman);-;-
-;General;Wingate;-;9.2.62;Orde  Buch;-;-
-;Salomon;Wininger;-;1.2.63;85:;-;-
-;Paul;Winter;-;-;Rez.Prozess  Jesu  7.1o.63(Flusser);-;Engl
-;Fritz;Wisten;-;-;Nachr.4.1.63;-;Regisseur
Rabb.;Benedict;Wolf;-;-;Oinchas  9o:5.3.65;-;-
Dr.;Max;Wolf;-;-;Nachr.4.5.62;-;-
-;Hilde;Wolff;-;-;Nachr.12.11.65;-;-
-;Kurt;Wolff;-;8.11.63;;-;Verleger
-;David;Wolffsohn;-;18.9.64;5o.Todestg;-;-
-;Karl;Wolfskehl;-;21.12.62;TimesLit);-;1869-1948
-;Dodi;Wolfson;-;-;Nachr.26.2.65(HT);-;-
Dr.;Hans;Wollin;75;24.9.65;ThNathan);-;-
-;Dorothea;Wörmann;-;11.5.62;3o.Todestg;-;-
-;Julius;Zeliner;-;-;Nachr.2.3.62;-;-
-;Arnold;Zweig;75;23.11.62;;-;1887-
-;Max;Zweig;-;23.2.62;5  Dramen  7o.Geburtstg,Arnold);-;-
-;Stefan;Zweig;-;23.2.62;2o.Todestg;-;1881-1942
