first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
salomon;Korn;5.4.74;Dissert.Deutsche  Synagogen.;-;-;-;-;MBNR.7.PER.66
Werner;Kraft;15.2.7,;Autobiogr.  rez.BenThorin;-;-;-;-;MBNR.7.PER.67
Karl;Kraus;26.4.7;k-Woche  Wien;-;-;-;-;MBNR.7.PER.68
Bruno;Kressky;10.10.73;pro-Arabisch(Zoller);-;-;-;-;MBNR.7.PER.69
Wilhelm;Krell;14.12.73;Nachruf(+  25.XI)  HT;-;-;-;-;MBNR.7.PER.70
Getzel;Kressel;-;Archiv  n.England.  ER  ?.8.74;-;-;-;-;MBNR.7.PER.71
Erich;Kwilecki;26.4.74;1.Todestag;-;-;-;-;MBNR.7.PER.72
Joseph;Lamm;29.11.74;75  HT;Dr.;-;-;-;MBNR.7.PER.73
Georg;Landauer;1.2.74;20.Todestag  HT,RW,Krolik;-;-;-;-;MBNR.7.PER.74
Else;Lasker-Schüler;18.10.74;LS  üb.Elisabth  Bergner;-;-;-;-;MBNR.7.PER.75
Käthe;Leichter(Pick);4.1.74;Memoiren  rez.RW;-;-;-;-;MBNR.7.PER.76
Perez;Leschem;-;"Strasse  d.Rettung  rez.""'Preuss  22.2  Ph";-;-;-;-;MBNR.7.PER.77
Georg;Levy;-;Jizchak  13.9,74;-;Nachruf;-;-;MBNR.7.PER.78
Erwin;Lichtenstein;-;Juden  Danzigs  rez(K=elter)30.11.73;-;-;-;-;MBNR.7.PER.79
Hans;Liebeschütz;30.11.73;80(3.xXTI)  HT;Prof.;-;-;-;MBNR.7.PER.80
E.M.;Lilien;28.6.7,;loo.Geburtstag,  Notiz;-;-;-;-;MBNR.7.PER.81
Schlomo;Lion;30.11.73;80  (RF.Simon);-;-;-;-;MBNR.7.PER.82
Paul;Lorenz;16.11.73;S  hnurmacher;-;Nachruf;-;-;MBNR.7.PER.83
Kurt;Loewenstein;16.11.73;;-;Todesanzeige;-;-;MBNR.7.PER.84
E.G.;Lowenthal;27.12.74;70  B.Simonsohn;Dr.;-;-;-;MBNR.7.PER.85
Ted;Lurie;14.6.7,;(Gottgetreu);-;Nachruf;-;-;MBNR.7.PER.86
Golo;Mann;21.6.7,;Appeasement;-;-;-;-;MBNR.7.PER.87
Thomas;Mann;-;Fischer-Neuassgabe  Notiz  ?4.5.74;-;-;-;-;MBNR.7.PER.88
Meir;Margalit;1.3.74;Geis;-;Nachruf;-;-;MBNR.7.PER.89
Karl;Marx;1.2.74;Bücherfund;-;-;-;-;MBNR.7.PER.90
Leopold;Marx;-;85  20,12..74;-;-;-;-;MBNR.7.PER.91
Rubin;Mass;24.5.7,;80;-;-;-;-;MBNR.7.PER.92
Selma(''Schwester;Mayer;-;"Selma'"")Memoiren(Fottgetr)8.2.7,";-;-;-;-;MBNR.7.PER.93
Colonel;Meinsetzhagen;-;Richard  Memoirs(Tapell)24.5.74;-;-;-;-;MBNR.7.PER.94
Solda;Meir;15.2.74;Lobt  d.JeckestGStern);-;-;-;-;MBNR.7.PER.95
Darius;Milhaud;5.7.74;Nachruf(+?2.VI);-;-;-;-;MBNR.7.PER.96
Hans;Mosbacher;-;Neumark  2311-73;-;Nachruf;-;-;MBNR.7.PER.97
Siegfried;Moses;18.1.74;Todesnachricht;-;-;-;-;MBNR.7.PER.98
sir;Kosley;28.6.74;Oswald  Memoirs(?7adek);-;-;-;-;MBNR.7.PER.99
Erich;Mühsam;3.5.74;Rerliner  Heft  z.40.TodestagtJuli);-;-;-;-;MBNR.7.PER.100
Helmut;Müssener;9.3.74;Exil  in  Schweden  rez.Matsdorf;-;-;-;-;MBNR.7.PER.101
Donald;Niewyk;-;Lt.Sozialisten  u.Judenfrage  rez.Gottgtr.5.4.79;-;-;-;-;MBNR.7.PER.102
;Nussbaum;-;Pabb.Max  HT  ?.3.74;-;Nachruf;-;-;MBNR.7.PER.103
David;Ochs;1.11.74;FR;Rabb.;Nachruf;-;-;MBNR.7.PER.104
kanny;Ollendorff;23.11.73;80  (Lotan);-;-;-;-;MBNR.7.PER.105
Adolf;Ordover;-;schloschim.  ?23.6.74;-;-;-;-;MBNR.7.PER.106
John;Philby;-;Biogr.Monroe  rez.kY  ?5.1.7h4;-;-;-;-;MBNR.7.PER.107
Fritz;PFick;25.10.74;;Dr.;Todesanzeige;-;-;MBNR.7.PER.108
Max(+;Plaut;5.7.74;8.1II)  z.Gedenken;Dr.;-;-;-;MBNR.7.PER.109
rrof.Martin;Plessner;7.12.73;(+27.XI)Nachruf  ER;-;-;-;-;MBNR.7.PER.110
Frof.Gerh.v.;Rad;8.9.74;Würdigung  E.Simon;-;-;-;-;MBNR.7.PER.111
David;keifen;31.5.74;!uch  üb.Jugendgericht  rez  MTP;-;-;-;-;MBNR.7.PER.112
Albert;Reimann;-;1000.Geburtstag({Gottgetreu)8.9.74;-;-;-;-;MBNR.7.PER.113
Max;kKeinhardt;-;Nach  lol  Jyahren(Gottgetreu)13.12.74;-;-;-;-;MBNR.7.PER.114
Ludwig;Renn;7.6.74;85.Motiz;-;-;-;-;MBNR.7.PER.115
Ffinchas;Kosen;3.5.74;87.150  Jahre  KJV)ER.;-;-;-;-;MBNR.7.PER.116
Ephraim;Rosenbusch;4.10.74;75;-;-;-;-;MBNR.7.PER.117
Ludwig;Rosenthal;15.27.74;J.  Loewengart;-;Nachruf;-;-;MBNR.7.PER.118
Arthur;kubinstein;5.4.74;Memoiren  rez.Gradenwitz;-;-;-;-;MBNR.7.PER.119
kurt;Ruppin;19.4.74;80;-;-;-;-;MBNR.7.PER.120
Karel;Salomon;-;1(+15.I)Nachruf  Gradenwitz  ?5.1.74;-;-;-;-;MBNR.7.PER.121
