first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
;Lippmann;27.2.81;jalter(Jüd.telbsthass)  Gottgetreu;-;-;-;-;MBNR.10.PER.63
;Ludwig;-;Emil  100.Geburtstag(Gottgetreu)  23,1,.81;-;-;-;-;MBNR.10.PER.64
;Hlahrer;24.7.81;Josef  80  (Eaminka);-;-;-;-;MBNR.10.PER.65
;Wann;-;Thomas;-;-;-;-;MBNR.10.PER.66
Hax;Marcus;5.11.82;90  (Kanowitz);Prof.;-;-;-;MBNR.10.PER.67
Kurt;May;7.2.01;85;-;-;-;-;MBNR.10.PER.68
;Kenrdelsohn;30.1.8;Luise  Nachrufnotiz;-;-;-;-;MBNR.10.PER.69
Paul;Merz;13.3.81;(HOTschech.);Dr.;Nachruf;-;-;MBNR.10.PER.70
Dolf;Nichaelis;70.10.81;Nachr,Freeden  (754  27:3:31);-;-;-;-;MBNR.10.PER.71
Berthold;Moch;3.4.81;Nachr.;Dr.;-;-;-;MBNR.10.PER.72
Lurt:Erfolgsstory;Moosberg;15.5.81;;Dr.;-;-;-;MBNR.10.PER.73
;Nachmansohn;25.9.81;"via  Dt.  jud.  Pioniere""  rez.J.Leibowitz";-;-;-;-;MBNR.10.PER.74
Jizchak;Navon;30.10.81;Sieben  Tore  rez.RW;-;-;-;-;MBNR.10.PER.75
;Neumann;27.2.81;Anni(lialerin  1906/55);-;-;-;-;MBNR.10.PER.76
Franz;Ollendorf;-;Todesanz.18.12.81;Prof.;-;-;-;MBNR.10.PER.77
;Oppenheim;19.2.82;Moritz  Daniel(1799-1882)  Rothschild;-;-;-;-;MBNR.10.PER.78
Emil;Orlik;1.10.82;50.  Todestaız  EGL;-;-;-;-;MBNR.10.PER.79
Rev.;Parkes;16.10.81;James;-;Nachruf;-;-;MBNR.10.PER.80
Chanan;Frinz;17.9.82;H.  Nachr.;-;-;-;-;MBNR.10.PER.81
Terence;Prittie;17.4.8;"""khose  Jerusalem?""";-;-;-;-;MBNR.10.PER.82
;Rathenau;-;walther(JUd.Selbsthass)Gottgetreu  lern  Bl;-;-;-;-;MBNR.10.PER.83
;Reinharz;5.4.82;"Yehuda  ""Dok.2.Gesch.d.dt.Zionicmus""  (H.Gross)";-;-;-;-;MBNR.10.PER.84
;Röder;7.8.01;erner(  [Irsg)  Biog.Handb.d.Emigration;-;-;-;-;MBNR.10.PER.85
;Rubinstein;24.12.82;Arthur;-;Nachruf;-;-;MBNR.10.PER.86
Rabo.Isaak;Rülf;6.3.81;150.Geburtstg(Tobias);-;-;-;-;MBNR.10.PER.87
Alexander;Sacharow;5.6.81;60  (Gottgetreu);Prof.;-;-;-;MBNR.10.PER.88
;Sachs;-;Julius  Nachr.19.11.82;-;-;-;-;MBNR.10.PER.89
Dov;Sadan;23.4.82;80  (Tobias);Prof.;-;-;-;MBNR.10.PER.90
Charlotte(Malerin;Salomon;5.6.81;1917/43)  EGL  /  Oren;-;-;-;-;MBNR.10.PER.91
Anita:Biogr.Berl;Schapira;17.4.81;Katknelson  (Tobias);-;-;-;-;MBNR.10.PER.92
