title;first name;last name;jub;issue_date;other;nachruf/tode;Geburt/Tod
Dr.;Ephraim;Edelstein;-;-;Nachr.1.6.62;-;-
Rabb.;Salomon;Ehrmann;-;-;Nachr.2.7.65;-;-
Prof.;Paul;Ehrlich;-;24.08.1962;WÃ¼rdigung;-;-
;Adolf;Eichmann;;;;;
-;Nathan;Eidinger;-;-;WÃ¼rdigung  17.lo.62;-;-
Prof.;Albert;Einstein;-;15.02.1965;E-Buch  in  Russland;-;-
-;Hanns;Eisler;-;-;Nachr.14.9.62;-;-
Prof.;Ismar;Elbogen;-;2.8.6j;2o.Todestg  Wilhelm);-;-
-;Regi;Elbogen;-;-;Nachr.14.5.65;-;-
-;Fritz;Elkan;-;-;Nachr.31.1.64;-;-
-;Clara;Ellern;-;24.01.1964;schloschim  Ettlinger);-;-
;Paul;Engelmann;;;Nachr.2.4.65;;
-;Irwin ;Epstein;85;"18.9.64	f";;-;-
Rabb.;Max;EscheIbacher;-;-;Nachr.7.8.64;-;-
Dr.;Erich;Eyck;-;-;Nachr.3.7.64;-;-
Dr.;Ernst;Feder;-;-;Nachr.17.4.64;-;-
Dr.;Hugo;Feilchenfeld;-;06.05.1964;9o:  AStern);-;-
-;Berthold;Feiwel;-;-;(n.GLandauers  Nachr.'58)2.2.62;-;-
Dr.;Ernst;Feldsberg;-;-;PrÃ¤s.d.Wiener  Gem.8.5.65;-;-
-;Mouloud;Feraoun;-;-;Nachr.6.4.62;-;-
-;Lion;Feuchtwanger;-;-;(1884-1958);-;-
-;Isaak;Feuerring;-;18.01.1965;25.Todestg;-;-
Dr.;Walter;Fischer;75;15.05.1964;EAuerbach);-;-
-;Ella;Fleischmann;-;-;Nachr.26.1.62(VKellner);-;-
-;Alfred;Frank;-;-;Todanz.6.9.65;-;-
Prof.;Abraham Halevi;Fränkel;-;-;Nachr.29.Io.65;-;-
-;Jakob;Fränkel;-;-;8o:26.1.62;-;Haifa
Prof.;Jonas;Fränkel;-;18.06.1965;85:  -Nachr.Notiz;-;-
-;Noemi;Fränkel;-;-;Rez.l7.1o.62(MMAyer);-;-
Dr.;Stefan;Fränkel;-;-;Todanz.1.1.65;-;-
-;Felix;Frankfurter;-;05.05.1965;WÃ¼rdigung  ÃŸaumgardt);-;-
-;Frieda;Frankl;-;-;Nachr.25.5.62;-;-
-;Sigmund;Freud;-;27.11.1964;1856-1959);-;-
-;Otto;Freundlich;-;24.07.1964;;-;-
-;Paula;Frenkel;-;-;8o:5.2.65(EMayer,Lotan);-;-
Dr.;Arthur;Freund;-;-;Nachr.24.12.65;-;-
Dr.;Erich;Frey;-;-;Nachr.24.4.64;-;-
Dr.;Wilhelm;Freyhan;;;;;
Dr.;Kurt;Freyer;;;;;
;Ferenc;Fricsay;;;;;
-;Edward M.;Frischauer;-;-;Nachr.51.1.64;-;-
-;Erich;Fromm;-;-;Rez.25.8.65(MGerson);-;-
-;Robert;Frost;-;-;Nachr.15.2.65;-;poet
-;Ludwig;Fulda;-;-;Gdenkausstellg.Frankft.7.9.62(1862-1959);-;-
-;John;Galsworthy;-;-;Rez.Biogr.29.3.63(Arnold);-;-
-;Sail;Geis;-;-;Nachr.22.2.63;-;-
Dr.;N.M.;Gelber;-;-;7o:7.8.64;-;-
-;Zvi;Gelles;-;-;Nachr.20.12.63;-;-
-;Stefan;George;-;05.04.1963;Kraft)  auch:8.4.60)  s.JÃ¼d.Rundsch.22.12.33);-;-
Dr.;Eugen;Gerstenmaier;-;23.11.1962;in  Israel;-;-
-;Ephraim;Ginsberg;-;-;Gedenknot.11.5.62;-;-
-;Karl;Glaser;-;-;Nachr.29.1.65(WFischer);-;-
