first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
;Glubb;9.5.69;(Sir)John  B,  Hezens.Gesch.d.äraber  (Plessner);-;-;-;-;MBNR.5.PER.65
llachum;Goldmann;6.12.68;Herzli-Preis;-;-;-;-;MBNR.5.PER.66
Fritz;Goldschnidt;12.7.68;Nachruf(iff);-;-;-;-;MBNR.5.PER.67
lierm.Levin;Goldschmidt;17.10.69;Ehrenprofessur;-;-;-;-;MBNR.5.PER.68
iduard;Goldstücker;-;-  Auszeichng  Darustadt  2143.69;-;-;-;-;MBNR.5.PER.69
Helmut;Gollwitzer;2.4.69;kezena.Vietnan,Israel,Christen(favor);-;-;-;-;MBNR.5.PER.70
itans;Goslar;25.7.69;biogr.Notiz;-;-;-;1889-1945;MBNR.5.PER.71
hartha;Gottberg;-;Ruhestand  22,8.69;-;-;-;-;MBNR.5.PER.72
Otto;Greve;12.7.68;Heinr.  Nachruf(Hl);-;-;-;-;MBNR.5.PER.73
Heinrich;Grüber;20.12.68;Rezens.Erinnerungen(Tavor);-;-;-;-;MBNR.5.PER.74
lax;Gruenewald;9.5.69;70;-;-;-;-;MBNR.5.PER.75
Romano;Guardini;11.10.68;;-;Nachruf;-;-;MBNR.5.PER.76
L.Albert;Hahn;25.10.68;Nachrufnotiz;-;-;-;-;MBNR.5.PER.77
ütto;Halın;16.8.68;Brief  an  5.Spier;-;-;-;-;MBNR.5.PER.78
;Halpern;11.10.68;(Prof.  )L«  Nachruf(Walk);-;-;-;-;MBNR.5.PER.79
;Hamburger;8.11.68;Ernest  Rezens.LBI-Buch(KL);-;-;-;-;MBNR.5.PER.80
Gerhart;Hauptmann;28.2.69;-Nachlass  Berlin;-;-;-;-;MBNR.5.PER.81
Friedrich;Heer;20.9.68B;Rezens.  Gottes  erste  Liebe(MIP);-;-;-;-;MBNR.5.PER.82
Hartin;Heidegger;13.12.68;"höbrä.""Kunstwerk""  (Bergman)";-;-;-;-;MBNR.5.PER.83
Moritz;Heimann;19.7.68;-10o.Geburtstg(Gottgetreu);-;-;-;-;MBNR.5.PER.84
Heinrich;Heine;21.2.69/25.4.69;-  Um  HH-Name  f.Düsseldf  Univ.;-;-;-;-;MBNR.5.PER.85
